delay,,condition,,textbox.text,,,,
0.7,,exp,,400,,,701.4074074,exp
0.1,,exp,,250,,,0.701407407,
0.4,,exp,,600,,,,
0.4,,exp,,200,,,797.2222222,unexp
0.7,,exp,,700,,,0.797222222,
0.4,,exp,,300,,,,
0.7,,exp,,300,,,,
0.1,,exp,,800,,,,
0.1,,exp,,800,,,,
0.7,,exp,,750,,,,
0.1,,exp,,900,,,,
0.4,,exp,,780,,,,
0.1,,exp,,860,,,,
0.4,,exp,,820,,,,
0.1,,exp,,920,,,,
0.1,,exp,,150,,,,
0.4,,exp,,760,,,,
0.4,,exp,,240,,,,
0.7,,exp,,650,,,,
0.7,,exp,,240,,,,
0.1,,exp,,600,,,,
0.7,,exp,,750,,,,
0.4,,exp,,500,,,,
0.7,,exp,,400,,,,
0.1,,exp,,670,,,,
0.1,,exp,,690,,,,
0.4,,exp,,840,,,,
0.1,,exp,,300,,,,
0.4,,exp,,670,,,,
0.4,,exp,,580,,,,
0.1,,exp,,800,,,,
0.7,,exp,,840,,,,
0.7,,exp,,660,,,,
0.7,,exp,,930,,,,
0.4,,exp,,130,,,,
0.7,,exp,,230,,,,
0.4,,exp,,950,,,,
0.7,,exp,,980,,,,
0.4,,exp,,100,,,,
0.1,,exp,,300,,,,
0.1,,exp,,800,,,,
0.7,,exp,,860,,,,
0.1,,exp,,989,,,,
0.4,,exp,,999,,,,
0.1,,exp,,970,,,,
0.4,,exp,,999,,,,
0.7,,exp,,970,,,,
0.7,,exp,,400,,,,
0.1,,exp,,800,,,,
0.1,,exp,,890,,,,
0.4,,exp,,890,,,,
0.7,,exp,,780,,,,
0.1,,exp,,380,,,,
0.1,,exp,,850,,,,
0.4,,exp,,370,,,,
0.7,,exp,,290,,,,
0.7,,exp,,800,,,,
0.7,,exp,,950,,,,
0.4,,exp,,850,,,,
0.4,,exp,,780,,,,
0.7,,exp,,760,,,,
0.1,,exp,,970,,,,
0.7,,exp,,370,,,,
0.1,,exp,,600,,,,
0.4,,exp,,870,,,,
0.7,,exp,,960,,,,
0.1,,exp,,970,,,,
0.7,,exp,,980,,,,
0.4,,exp,,990,,,,
0.1,,exp,,700,,,,
0.4,,exp,,580,,,,
0.4,,exp,,870,,,,
0.7,,exp,,999,,,,
0.4,,exp,,960,,,,
0.7,,exp,,980,,,,
0.1,,exp,,999,,,,
0.4,,exp,,999,,,,
0.1,,exp,,950,,,,
0.1,,exp,,960,,,,
0.4,,exp,,500,,,,
0.7,,exp,,890,,,,
0.4,,unexp,,950,,,,
0.7,,unexp,,450,,,,
0.1,,unexp,,400,,,,
0.4,,unexp,,400,,,,
0.1,,unexp,,870,,,,
0.1,,unexp,,800,,,,
0.7,,unexp,,500,,,,
0.1,,unexp,,870,,,,
0.7,,unexp,,930,,,,
0.4,,unexp,,960,,,,
0.4,,unexp,,860,,,,
0.1,,unexp,,600,,,,
0.4,,unexp,,900,,,,
0.7,,unexp,,960,,,,
0.7,,unexp,,999,,,,
0.4,,unexp,,999,,,,
0.1,,unexp,,999,,,,
0.7,,unexp,,970,,,,
0.4,,unexp,,950,,,,
0.7,,unexp,,980,,,,
0.1,,unexp,,990,,,,
0.4,,unexp,,999,,,,
0.1,,unexp,,999,,,,
0.1,,unexp,,400,,,,
0.7,,unexp,,790,,,,
0.7,,unexp,,600,,,,
0.4,,unexp,,400,,,,
